201. 	230270 	N++ 	1,134 	42 	95.00% 	96.43%
202. 	497640 	Trick & Treat 	953 	34 	95.00% 	96.56%
203. 	285440 	Crimzon Clover WORLD IGNITION 	860 	30 	94.99% 	96.63%
204. 	223470 	POSTAL 2 	24,674 	1,219 	94.99% 	95.29%
205. 	418650 	Space Pirate Trainer 	1,151 	43 	94.98% 	96.40%
206. 	302380 	Floating Point 	3,005 	130 	94.98% 	95.85%
207. 	589770 	Green Elephant 2D 	131 	1 	94.98% 	99.24%
208. 	347620 	Gaokao.Love.100Days 	3,514 	155 	94.97% 	95.78%
209. 	630 	Alien Swarm 	16,039 	784 	94.96% 	95.34%
210. 	312530 	Duck Game 	9,958 	477 	94.95% 	95.43%
211. 	523780 	Emily is Away Too 	1,207 	46 	94.94% 	96.33%
212. 	544180 	Orbox C 	94 	0 	94.93% 	100%
213. 	653950 	Your Smile Beyond Twilight 	94 	0 	94.93% 	100%
214. 	40970 	Stronghold Crusader HD 	2,594 	112 	94.91% 	95.86%
215. 	41060 	Serious Sam Classic: The Second Encounter 	570 	18 	94.91% 	96.94%
216. 	3830 	Psychonauts 	5,979 	280 	94.90% 	95.53%
217. 	426690 	Narcissu 10th Anniversary Anthology Project 	160 	2 	94.89% 	98.77%
218. 	359050 	Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad 	6,865 	326 	94.88% 	95.47%
219. 	377660 	Blockwick 2 	93 	0 	94.87% 	100%
220. 	586880 	Mini Ghost 	159 	2 	94.86% 	98.76%
221. 	236450 	PAC-MAN Championship Edition DX+ 	5,666 	267 	94.86% 	95.50%
222. 	296470 	Mount Your Friends 	5,397 	254 	94.85% 	95.51%
223. 	317400 	Portal Stories: Mel 	7,507 	361 	94.85% 	95.41%
224. 	410320 	EARTH DEFENSE FORCE 4.1 The Shadow of New Despair 	2,411 	105 	94.84% 	95.83%
225. 	8800 	Sid Meier's Civilization IV: Beyond the Sword 	1,028 	39 	94.82% 	96.34%
226. 	469790 	Linelight 	158 	2 	94.82% 	98.75%
227. 	200510 	XCOM: Enemy Unknown 	33,259 	1,725 	94.80% 	95.07%
228. 	22330 	The Elder Scrolls IV: Oblivion 	9,647 	476 	94.80% 	95.30%
229. 	344480 	Quell 	126 	1 	94.79% 	99.21%
230. 	452440 	Flowers -Le volume sur printemps- 	241 	5 	94.79% 	97.97%
231. 	22320 	The Elder Scrolls III: Morrowind 	7,081 	344 	94.79% 	95.37%
232. 	331470 	Everlasting Summer 	21,374 	1,095 	94.79% 	95.13%
233. 	406550 	Umineko 	157 	2 	94.79% 	98.74%
234. 	314180 	Deathsmiles 	213 	4 	94.77% 	98.16%
235. 	304430 	INSIDE 	12,475 	628 	94.77% 	95.21%
236. 	41700 	S.T.A.L.K.E.R.: Call of Pripyat 	6,067 	293 	94.77% 	95.39%
237. 	49600 	Beat Hazard 	5,570 	268 	94.76% 	95.41%
238. 	322770 	Vanishing Realms 	1,781 	76 	94.75% 	95.91%
239. 	322190 	SteamWorld Heist 	1,344 	55 	94.73% 	96.07%
240. 	303590 	Hidden in Plain Sight 	183 	3 	94.71% 	98.39%
241. 	40800 	Super Meat Boy 	20,495 	1,067 	94.71% 	95.05%
